title,artist,album_or_film,year,decade,language,difficulty,preview_url,artwork_url
Tujhe Dekha To,"Lata Mangeshkar, Kumar Sanu",Dilwale Dulhania Le Jayenge,1995,1990s,Hindi,medium,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/df/53/2d/df532db9-42a5-1657-dc66-252a0fc951cf/mzaf_11264658299886102641.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music62/v4/46/58/97/465897ed-fe10-e218-4cac-02c69ca36ad0/191773207717.jpg/600x600bb.jpg
Pehla Nasha,"Udit Narayan, Sadhana Sargam",Jo Jeeta Wohi Sikandar,1992,1990s,Hindi,medium,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/3c/41/d6/3c41d678-54cd-bc22-bb66-928c4e584f54/mzaf_11991940136628253012.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/96/c9/3a/96c93aa7-1872-8297-493a-2fc72d540af0/191773221072.jpg/600x600bb.jpg
Chaiyya Chaiyya,"Sukhwinder Singh, Sapna Awasthi",Dil Se,1998,1990s,Hindi,easy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/81/6c/e7/816ce721-3a37-0e57-3aa7-c3e180c4b38c/mzaf_10595670915474775723.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/8e/f8/85/8ef88544-a6c7-018b-0a75-dc3b6b024fa0/cover.jpg/600x600bb.jpg
Kuch Kuch Hota Hai,"Udit Narayan, Alka Yagnik",Kuch Kuch Hota Hai,1998,1990s,Hindi,easy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e9/54/53/e95453a2-98e8-3fd9-7b9d-8cd5e4046703/mzaf_13098122183603209993.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/07/b7/a4/07b7a4a5-d21f-db81-1d51-1eb1846c7dcb/888880945907.jpg/600x600bb.jpg
Ae Mere Humsafar,"Alka Yagnik, Udit Narayan",Qayamat Se Qayamat Tak,1988,1980s,Hindi,hard,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/22/e2/a4/22e2a451-6f8b-5b1d-ebc6-40f21cc10a0e/mzaf_16495667600746822784.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/97/38/6b/97386bc1-46b7-0c82-d28e-1621c7001c03/8902894873307_cover.jpg/600x600bb.jpg
Kal Ho Naa Ho,Sonu Nigam,Kal Ho Naa Ho,2003,2000s,Hindi,easy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/f2/dc/3d/f2dc3d30-c133-b7db-b78f-235c1439f1f2/mzaf_956586774622856416.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/fb/82/da/fb82dab1-d0cd-714c-000c-6450774fd5d4/888880945587.jpg/600x600bb.jpg
Tere Bina,"A.R. Rahman, Chinmayi",Guru,2006,2000s,Hindi,medium,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/23/61/64/236164d3-f330-d526-6045-d975a4be4a64/mzaf_17030153012157637966.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/8d/8c/69/8d8c697e-f108-9e69-0cb1-475b45ab26a8/886970389020.jpg/600x600bb.jpg
Jai Ho,A.R. Rahman,The Playlist: New Year's Party,2009,2000s,Hindi,hard,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/d2/a5/81/d2a58118-264f-fba0-0464-b4c5f80f4f0c/mzaf_15705884702025862762.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/fc/20/ed/fc20ed62-bff7-2814-60ca-6531afe52f0a/13UAEIM28198.rgb.jpg/600x600bb.jpg
Koi Kahe Kehta Rahe,"Shankar Mahadevan, Shaan, KK",Dil Chahta Hai,2001,2000s,Hindi,hard,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a5/17/6f/a5176fc0-4344-52ee-2e62-fa364ab911e1/mzaf_15111418004004397174.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/2b/df/62/2bdf6213-3d11-5f01-cc5e-ddfcc15923b4/8902894114844_cover.jpg/600x600bb.jpg
Bheegi Bheegi,James,Gangster,2006,2000s,Hindi,medium,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e5/f7/f8/e5f7f8f6-b97c-f78b-bd7b-c9516d095313/mzaf_7425038184044588342.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e3/42/b4/e342b46e-fd2c-8659-703c-ebc2af4df418/0602465585810.jpg/600x600bb.jpg
Tum Hi Ho,Arijit Singh,Aashiqui 2,2013,2010s,Hindi,easy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/38/de/b9/38deb942-d44a-f2bb-205c-ddf05be84693/mzaf_9747647124859107103.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/bb/23/ee/bb23eeed-0c35-4f1d-2b11-485622777ae4/8902894353007_cover.jpg/600x600bb.jpg
Channa Mereya,Arijit Singh,Ae Dil Hai Mushkil,2016,2010s,Hindi,easy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d5/f9/98/d5f998a7-0090-ee2d-03f8-557ad6c5bf65/mzaf_14251357991592637728.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/bc/6e/4d/bc6e4d0c-adec-b431-7b60-16f5689f9664/886446201597.jpg/600x600bb.jpg
Gerua,"Arijit Singh, Antara Mitra",Dilwale,2015,2010s,Hindi,medium,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/bf/6e/24/bf6e24d8-d4d5-1cac-adc6-4a0fc07e98da/mzaf_14186979808495752044.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/dd/c8/ee/ddc8ee1d-baeb-0c8b-383f-1eb21bd172c2/886445593280.jpg/600x600bb.jpg
Kabira,"Tochi Raina, Rekha Bhardwaj",Yeh Jawaani Hai Deewani,2013,2010s,Hindi,medium,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e2/06/19/e2061998-6444-5c5b-5bfc-a149c55e2e2e/mzaf_10494977375651598168.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/62/d6/74/62d67432-0670-631f-db6a-d4bac3adae4b/8902894353328_cover.jpg/600x600bb.jpg
Malhari,Vishal Dadlani,Bajirao Mastani,2015,2010s,Hindi,easy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/24/52/0e/24520ebe-5089-37d7-1ce1-50844f94c285/mzaf_11818051259573298756.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/f1/4f/8f/f14f8fe3-4fda-8244-8dff-0db4be58bd4a/196871079808.jpg/600x600bb.jpg
Kesariya,Arijit Singh,"Kesariya (From ""Brahmastra"")",2022,2020s,Hindi,easy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/38/4c/5c/384c5c8f-3ff8-e457-b2f7-3158ce108649/mzaf_12389299033886433185.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/9f/13/ca/9f13ca3b-e533-03e0-f19a-f0aaa774581d/196589311191.jpg/600x600bb.jpg
Apna Bana Le,Arijit Singh,"Apna Bana Le (From ""Bhediya"")",2022,2020s,Hindi,medium,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/09/51/0d/09510dea-6579-5cd0-b13b-696abc2c520b/mzaf_10718921821360997069.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/2e/0b/c0/2e0bc070-112f-a827-6ad8-6bc64f7caaff/840214460180.png/600x600bb.jpg
Heeriye,"Jasleen Royal, Arijit Singh",Heeriye,2023,2020s,Hindi,medium,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/14/9b/ac/149bac62-12f1-2f55-a742-f38429b94c83/mzaf_17225240189976438593.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f0/8c/2a/f08c2aeb-3903-8738-d0a5-8c2e4547eed7/5054197711039.jpg/600x600bb.jpg
Bohemian Rhapsody,Queen,The Platinum Collection,1975,1970s,English,easy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/15/91/df/1591df73-dd8a-ee42-bfb8-51c8cdda7078/mzaf_9819305553372065518.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/15/c7/55/15c755bc-7603-3ce3-e243-e59f1f9863ea/602527724171.jpg/600x600bb.jpg
Billie Jean,Michael Jackson,Thriller,1982,1980s,English,easy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/dc/bc/8a/dcbc8a3e-4ce1-c00d-cc02-eda2212053c7/mzaf_8347559338388601510.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/32/4f/fd/324ffda2-9e51-8f6a-0c2d-c6fd2b41ac55/074643811224.jpg/600x600bb.jpg
Smells Like Teen Spirit,Nirvana,Nevermind,1991,1990s,English,easy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a6/53/1e/a6531efa-397c-eb73-ecab-9b2790c1471e/mzaf_16440344883389407474.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/95/fd/b9/95fdb9b2-6d2b-92a6-97f2-51c1a6d77f1a/00602527874609.rgb.jpg/600x600bb.jpg
Hotel California,Eagles,Hotel California,1976,1970s,English,medium,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a7/1b/f0/a71bf07d-f498-05c9-2c8a-d12af7d019d8/mzaf_11402952498213508559.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/88/16/2c/88162c3d-46db-8321-61f3-3a47404cfe76/075596050920.jpg/600x600bb.jpg
Blinding Lights,The Weeknd,Blinding Lights,2019,2010s,English,easy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/17/b4/8f/17b48f9a-0b93-6bb8-fe1d-3a16623c2cfb/mzaf_9560252727299052414.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/6e/bf/a66ebf79-5008-8948-b352-a790fc87446b/19UM1IM04638.rgb.jpg/600x600bb.jpg
Shape of You,Ed Sheeran,Shape of You,2017,2010s,English,hard,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/92/9d/ca/929dcaa8-0a73-6891-1282-415a26cbe275/mzaf_5003238936688092074.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/17/79/7f/17797f31-1f66-0208-6e84-c8a2a51d22d2/190295833893.jpg/600x600bb.jpg
Levitating,Dua Lipa,Levitating (feat. DaBaby),2020,2020s,English,medium,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/02/20/e9/0220e9d0-5eea-3492-a9b2-23741a7b638d/mzaf_16375369764658574310.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/16/9c/e6/169ce699-5506-0e08-f514-81f08a9ed7f5/190295132651.jpg/600x600bb.jpg
Uptown Funk,"Mark Ronson, Bruno Mars",Uptown Special,2014,2010s,English,easy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/62/e1/98/62e19826-cd13-6eff-390e-dbca502bb7b5/mzaf_8006535252627949661.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/7e/30/c5/7e30c572-aa47-5f7b-c6fd-42d50cd2c56d/886444959797.jpg/600x600bb.jpg
